#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
currency_name_red_sashes;Red Sashes prestige;;;;;;;;;;;;;x
currency_name_twisted_rune;Rune;;;;;;;;;;;;;x
red_sashes;Red Sashes;;;;;;;;;;;;;x
red_sashes_desc;A vigilante group of Waterdeep, arresting the guilty and freeing the innocent where the City Watch fail.;;;;;;;;;;;;;x
red_sashes_leader_desc;The One;;;;;;;;;;;;;x
red_sashes_rank_1_female;Junior;;;;;;;;;;;;;x
red_sashes_rank_1_male;Junior;;;;;;;;;;;;;x
red_sashes_rank_2_female;Adept;;;;;;;;;;;;;x
red_sashes_rank_2_male;Adept;;;;;;;;;;;;;x
red_sashes_rank_3_female;Master;;;;;;;;;;;;;x
red_sashes_rank_3_male;Master;;;;;;;;;;;;;x
twisted_rune;Twisted Rune;;;;;;;;;;;;;x
twisted_rune_desc;A secret cabal of undead spellcasters.;;;;;;;;;;;;;x
twisted_rune_leader_desc;Grand Runemaster;;;;;;;;;;;;;x
twisted_rune_rank_1_female;Rune Agent;;;;;;;;;;;;;x
twisted_rune_rank_1_male;Rune Agent;;;;;;;;;;;;;x
twisted_rune_rank_2_female;Runemaster;;;;;;;;;;;;;x
twisted_rune_rank_2_male;Runemaster;;;;;;;;;;;;;x
twisted_rune_rank_3_female;Senior Runemaster;;;;;;;;;;;;;x
twisted_rune_rank_3_male;Senior Runemaster;;;;;;;;;;;;;x
