#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_callidyrr;Callidyrr;;;;;;;;;;;;;x
d_callidyrr_adj;Callidyrran;;;;;;;;;;;;;x
d_cormyr;Cormyr;Cormyr;Cormyr;;Cormyr;;;;;;;;;x
d_cormyr_adj;Cormyrean;;;;;;;;;;;;;x
d_corwell;Corwell;;;;;;;;;;;;;x
d_corwell_adj;Corwellan;;;;;;;;;;;;;x
d_east_cormyr;East Cormyr;East Cormyr;East Cormyr;;East Cormyr;;;;;;;;;x
d_east_cormyr_adj;East Cormyrean;;;;;;;;;;;;;x
d_gnarhelm;Gnarhelm;;;;;;;;;;;;;x
d_gnarhelm_adj;Gnarhelman;;;;;;;;;;;;;x
d_icewind_dale;Icewind Dale;Icewind Dale;Icewind Dale;;Icewind Dale;;;;;;;;;x
d_icewind_dale_adj;Icewind Daler;;;;;;;;;;;;;x
d_myrloch;Myrloch;;;;;;;;;;;;;x
d_myrloch_adj;Myrlochian;;;;;;;;;;;;;x
d_oman;Oman;;;;;;;;;;;;;x
d_oman_adj;Omanian;;;;;;;;;;;;;x
d_the_stonelands;The Stonelands;The Stonelands;The Stonelands;;The Stonelands;;;;;;;;;x
d_the_stonelands_adj;Stonelander;;;;;;;;;;;;;x
d_the_stormhorns;The Stormhorns;The Stormhorns;The Stormhorns;;The Stormhorns;;;;;;;;;x
d_the_stormhorns_adj;Stormhorner;;;;;;;;;;;;;x
d_winterglen;Winterglen;;;;;;;;;;;;;x
d_winterglen_adj;Winterglenian;;;;;;;;;;;;;x
