#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_first_king;First King;;;;;;;;;;;;;x
nick_first_queen;First Queen;;;;;;;;;;;;;x
nick_longyears;Longyears;;;;;;;;;;;;;x
nick_the_cpob;the Crown Prince of Battles;;;;;;;;;;;;;x
nick_the_doomed_babe;the Doomed Babe;;;;;;;;;;;;;x
nick_the_elder;the Elder;;;;;;;;;;;;;x
nick_the_fodp;the Father of Dark Princes;;;;;;;;;;;;;x
nick_the_greater;the Greater;;;;;;;;;;;;;x
nick_the_insufficient;the Insufficient;;;;;;;;;;;;;x
nick_the_learned;the Learned;;;;;;;;;;;;;x
nick_the_lesser;the Lesser;;;;;;;;;;;;;x
nick_the_little_spider;the Little Spider;;;;;;;;;;;;;x
nick_the_neverdying;the Neverdying;;;;;;;;;;;;;x
nick_the_pretender;the Pretender;;;;;;;;;;;;;x
nick_the_royal_jester;the Royal Jester;;;;;;;;;;;;;x
nick_the_scarred_advisor;the Scarred Advisor;;;;;;;;;;;;;x
nick_the_tortured_king;the Tortured King;;;;;;;;;;;;;x
nick_the_touched;the Touched;;;;;;;;;;;;;x
nick_the_unfortunate;the Unfortunate;;;;;;;;;;;;;x
